hub_name,volume,HubName,HubDist
KAMPUNG RINCHING,15156.5,1,35.01845187
SUNGAI RAMAL LUAR,19299.5,1,23.38982679
KOTA KEMUNING JALAN 31/1 - 31/80,25078.5,1,0
PUTRA HEIGHT,23301.5,1,3.030059082
BANDAR SULTAN SULAIMAN,16492.5,1,19.68789521
BUKIT JELUTONG U8,16811.5,1,11.83225264
SETIA ALAM,33226.5,1,15.70390113
KOTA DAMANSARA SEKSYEN 4 DAN 5,35395,1,16.61173824
PINGGIRAN SUBANG,23474.5,1,18.96842541
KUBU GAJAH,15459,1,22.20300262
PETEMPATAN SUNGAI BULOH,17408,1,25.40563633
SUNGAI BULOH,17041,1,23.7843013
BUKIT LANJAN,16302,1,20.10074131
GLENMARIE,18701,1,10.4836873
KAMPUNG BATU 13,18770,1,6.201127352
BANDAR PUTERI,21566,1,9.105722028
BANDAR KINRARA SEKSYEN 5,37030.5,1,14.4993163
IMPIAN EHSAN,33574.5,1,23.80774516
SUNGAI SEKAMAT,24131.5,1,27.2667521
KUALA GARING,15021,1,34.61350074
CYBERJAYA,22352,1,14.01616632
PULAU INDAH SELATAN,20021,1,28.1994712
KAMPUNG MELOT,16881.5,1,26.2064114
SEKSYEN 34 SHAH ALAM,15682,1,4.667269437
ARA DAMANSARA,16493.5,1,13.46325435
BATU 12 PUCHONG,16812,1,7.935440501
TAMAN TTDI JAYA,18584,1,12.58136343
HAJI HUSIN JALAN KEBUN,18293,1,3.665445292
KAMPUNG BAHARU SUNGAI BULOH SEKOLAH,16785.5,1,20.9814542
PULAU MERANTI,20605,1,12.14274534
BATU 9 GOMBAK,19053.5,1,40.94573896
TAMAN PINGGIRAN PUTRA,50518,1,12.44351963
MONTEREZ,27596.5,1,16.27762918
TAMAN PUCHONG UTAMA,34103.5,1,6.208985953
BALAKONG JAYA,16880,1,21.43111848
KAWASAN UPM,16814.5,1,17.56918831
KAMPUNG BAHARU SUBANG,27459,1,15.3046027
SUNGAI RAMAL DALAM,16471,1,24.06099525
,19613.5,1,23.46924136
,15168.5,1,21.73486038
,15296.5,1,23.17429067
,15409,1,17.92348033
